variant,param,sample,n_vars,n_clauses,encode_s,bootstrap_s,solve_s,wall_s,sat,conflicts,decisions,propagations,restarts,witness_hex,timeout,extra
B,24,1,,,,,,300.0030296249897,,,,,,,True,target_hash=0594e34589ec69155b080fa6d013ece8
C,4,0,30542,103527,0.01712754095206037,0.03532458405243233,403.0417530829436,403.17022312496556,True,501184,732049,2882800263,26257,6e666d77,False,orig_string=nfmw target_hash=6ba413f44087929beb7a00500d5a667a
C,4,1,30542,103527,0.016253375040832907,0.03453420795267448,132.40765212505357,132.5424609159818,True,169496,236406,1005094546,5885,66756671,False,orig_string=fufq target_hash=fe9128676d4cc6f218be77a363facb37
C,4,2,30542,103527,0.016085500014014542,0.03446649998659268,336.79867637500865,336.93308058404364,True,472940,689057,2387295936,23426,6e696b78,False,orig_string=nikx target_hash=91146afaa1e4afbb16abff5116200ca3
C,4,3,,,,,,600.003055875015,,,,,,,True,orig_string=fwai target_hash=b0bd8557816f0638eaf529191e617f96
C,4,4,30542,103527,0.016731208947021514,0.035208415996748954,288.1583307920373,288.32938850001665,True,334176,446897,2088590735,11761,70777770,False,orig_string=pwwp target_hash=758797bd75f3875eaa7b4dff2a127cd7
C,5,0,,,,,,3600.0053592500044,,,,,,,True,orig_string=pgbka target_hash=9afae2ac5f60a97ca657e16a6dab05f2
C,5,1,,,,,,888.6888340419973,,,,,,,False,orig_string=jpxzk target_hash=a9a5ee135ddc2849d56849e3ff438529
C,5,2,,,,,,3600.008989834052,,,,,,,True,orig_string=guedm target_hash=4c73422948340ab3cb2707e6ef154884
C,5,3,30722,104120,0.016215416020713747,0.03510516695678234,3581.0543862500344,3581.2726953329984,True,3514359,5413654,13677592677,114176,6c626f7472,False,orig_string=lbotr target_hash=24cb0257eff9cf205418cf362fc780f5
C,5,4,,,,,,3600.0095123340143,,,,,,,True,orig_string=glhuk target_hash=cf11c4f41a277e40c2cd4ca72a1218c0
